Waktu,USD_beli,USD_jual,SGD_beli,SGD_jual,EUR_beli,EUR_jual,AUD_beli,AUD_jual
07-04-2021 14:55:35,14510.0,14540.0,10833.77,10863.95,17215.85,17269.41,11068.3,11107.02
07-04-2021 14:56:05,14510.0,14540.0,10833.77,10863.95,17215.85,17269.41,11068.3,11107.02
07-04-2021 14:56:35,14510.0,14540.0,10833.77,10863.95,17215.85,17269.41,11068.3,11107.02
07-04-2021 14:57:05,14510.0,14540.0,10833.77,10863.95,17215.85,17269.41,11068.3,11107.02
07-04-2021 14:57:35,14510.0,14540.0,10833.77,10863.95,17215.85,17269.41,11068.3,11107.02
07-04-2021 14:58:05,14510.0,14540.0,10833.77,10863.95,17215.85,17269.41,11068.3,11107.02
07-04-2021 14:58:35,14510.0,14540.0,10833.77,10863.95,17215.85,17269.41,11068.3,11107.02
07-04-2021 14:59:06,14510.0,14540.0,10833.77,10863.95,17215.85,17269.41,11068.3,11107.02
07-04-2021 14:59:36,14510.0,14540.0,10833.77,10863.95,17215.85,17269.41,11068.3,11107.02
07-04-2021 15:00:06,14505.0,14535.0,10832.87,10863.06,17221.53,17273.64,11064.48,11104.65
07-04-2021 15:00:36,14505.0,14535.0,10832.87,10863.06,17221.53,17273.64,11064.48,11104.65
07-04-2021 15:01:06,14505.0,14535.0,10832.87,10863.06,17221.53,17273.64,11064.48,11104.65
07-04-2021 15:01:36,14505.0,14535.0,10832.87,10863.06,17221.53,17273.64,11064.48,11104.65
07-04-2021 15:02:06,14505.0,14535.0,10832.87,10863.06,17221.53,17273.64,11064.48,11104.65
07-04-2021 15:02:36,14505.0,14535.0,10832.87,10863.06,17221.53,17273.64,11064.48,11104.65
07-04-2021 15:03:06,14505.0,14535.0,10832.87,10863.06,17221.53,17273.64,11064.48,11104.65
07-04-2021 15:03:37,14505.0,14535.0,10832.87,10863.06,17221.53,17273.64,11064.48,11104.65
07-04-2021 15:04:07,14505.0,14535.0,10832.87,10863.06,17221.53,17273.64,11064.48,11104.65
07-04-2021 15:04:37,14505.0,14535.0,10832.87,10863.06,17221.53,17273.64,11064.48,11104.65
07-04-2021 15:05:07,14505.0,14535.0,10832.87,10863.06,17221.53,17273.64,11064.48,11104.65
07-04-2021 15:05:37,14505.0,14535.0,10832.87,10863.06,17221.53,17273.64,11064.48,11104.65
07-04-2021 15:06:07,14505.0,14535.0,10832.87,10863.06,17221.53,17273.64,11064.48,11104.65
07-04-2021 15:06:38,14505.0,14535.0,10832.87,10863.06,17221.53,17273.64,11064.48,11104.65
07-04-2021 15:07:08,14505.0,14535.0,10830.04,10860.22,17221.53,17275.09,11065.93,11106.11
07-04-2021 15:07:38,14505.0,14535.0,10830.04,10860.22,17221.53,17275.09,11065.93,11106.11
07-04-2021 15:08:09,14505.0,14535.0,10830.04,10860.22,17221.53,17275.09,11065.93,11106.11
07-04-2021 15:08:40,14505.0,14535.0,10830.04,10860.22,17221.53,17275.09,11065.93,11106.11
07-04-2021 15:09:10,14505.0,14535.0,10830.04,10860.22,17221.53,17275.09,11065.93,11106.11
07-04-2021 15:09:40,14505.0,14535.0,10830.04,10860.22,17221.53,17275.09,11065.93,11106.11
07-04-2021 15:10:10,14505.0,14535.0,10830.04,10860.22,17221.53,17275.09,11065.93,11106.11
07-04-2021 15:10:40,14505.0,14535.0,10830.04,10860.22,17221.53,17275.09,11065.93,11106.11
07-04-2021 15:11:10,14505.0,14535.0,10830.04,10860.22,17221.53,17275.09,11065.93,11106.11
07-04-2021 15:11:40,14505.0,14535.0,10830.04,10860.22,17221.53,17275.09,11065.93,11106.11
07-04-2021 15:12:11,14505.0,14535.0,10830.04,10860.22,17221.53,17275.09,11065.93,11106.11
07-04-2021 15:12:41,14505.0,14535.0,10830.04,10860.22,17221.53,17275.09,11065.93,11106.11
07-04-2021 15:13:11,14505.0,14535.0,10830.04,10860.22,17221.53,17275.09,11065.93,11106.11
07-04-2021 15:13:41,14505.0,14535.0,10830.04,10860.22,17221.53,17275.09,11065.93,11106.11
07-04-2021 15:14:11,14505.0,14535.0,10830.04,10860.22,17221.53,17275.09,11065.93,11106.11
07-04-2021 15:14:41,14505.0,14535.0,10830.04,10860.22,17221.53,17275.09,11065.93,11106.11
07-04-2021 15:15:11,14505.0,14535.0,10830.04,10860.22,17221.53,17275.09,11065.93,11106.11
07-04-2021 15:15:41,14505.0,14535.0,10830.04,10860.22,17221.53,17275.09,11065.93,11106.11
07-04-2021 15:16:12,14505.0,14535.0,10830.04,10860.22,17221.53,17275.09,11065.93,11106.11
07-04-2021 15:16:42,14505.0,14535.0,10830.04,10860.22,17221.53,17275.09,11065.93,11106.11
07-04-2021 15:17:12,14505.0,14535.0,10830.04,10860.22,17221.53,17275.09,11065.93,11106.11
07-04-2021 15:17:42,14505.0,14535.0,10830.04,10860.22,17221.53,17275.09,11065.93,11106.11
07-04-2021 15:18:12,14505.0,14535.0,10830.04,10860.22,17221.53,17275.09,11065.93,11106.11
